Município,Populacao_2025,Postos_Existentes,Postos_por_100mil
Vitória Brasil,1828,0,0.0
Adolfo,4505,0,0.0
Aguaí,32886,0,0.0
Águas da Prata,7463,0,0.0
Águas de Lindóia,18257,0,0.0
Águas de Santa Bárbara,7460,0,0.0
Águas de São Pedro,2928,0,0.0
Agudos,38988,0,0.0
Alambari,6373,0,0.0
Alfredo Marcondes,4574,0,0.0
Altair,3467,0,0.0
Altinópolis,17197,0,0.0
Alto Alegre,3874,0,0.0
Alumínio,17607,0,0.0
Álvares Florence,3979,0,0.0
Zacarias,2773,0,0.0
Votuporanga,100568,0,0.0
Alvinlândia,2919,0,0.0
Americana,247571,0,0.0
Américo Brasiliense,33708,0,0.0
Américo de Campos,5981,0,0.0
Amparo,69792,0,0.0
Analândia,4694,0,0.0
Andradina,61625,0,0.0
Angatuba,24573,0,0.0
Anhembi,5766,0,0.0
Anhumas,4118,0,0.0
Urupês,14073,0,0.0
Aparecida d'Oeste,4112,0,0.0
Apiaí,24857,0,0.0
Araçariguama,22314,0,0.0
Estiva Gerbi,11609,0,0.0
Araçoiaba da Serra,33832,0,0.0
Aramina,5535,0,0.0
Arandu,7076,0,0.0
Valentim Gentil,14634,0,0.0
Araraquara,253474,0,0.0
Araras,135744,0,0.0
Arco-Íris,2089,0,0.0
Arealva,8290,0,0.0
Valinhos,132258,0,0.0
Areiópolis,10242,0,0.0
Ariranha,7621,0,0.0
Artur Nogueira,53467,0,0.0
Arujá,90273,0,0.0
Aspásia,1875,0,0.0
Assis,104858,0,0.0
Atibaia,167161,0,0.0
Auriflama,13856,0,0.0
Avaí,4503,0,0.0
Avanhandava,11436,0,0.0
Avaré,96450,0,0.0
Bady Bassitt,29346,0,0.0
Balbinos,3969,0,0.0
Bálsamo,9902,0,0.0
Valparaíso,24779,0,0.0
Barão de Antonina,3632,0,0.0
Barbosa,5627,0,0.0
Bariri,32406,0,0.0
Barra Bonita,35129,0,0.0
Barra do Chapéu,5254,0,0.0
Barra do Turvo,6894,0,0.0
Barretos,126957,0,0.0
Barrinha,33304,0,0.0
Barueri,333737,0,0.0
Bastos,21936,0,0.0
Batatais,59939,0,0.0
Bauru,392947,0,0.0
Bebedouro,78257,0,0.0
Bento de Abreu,2640,0,0.0
Bernardino de Campos,11881,0,0.0
Bertioga,67436,0,0.0
Bilac,7464,0,0.0
Birigui,123340,0,0.0
Biritiba-Mirim,30564,0,0.0
Boa Esperança do Sul,13113,0,0.0
Bocaina,11480,0,0.0
Bofete,10710,0,0.0
Boituva,63850,0,0.0
Bom Jesus dos Perdões,22579,0,0.0
Bom Sucesso de Itararé,3609,0,0.0
Borá,932,0,0.0
Boracéia,4838,0,0.0
Borborema,14405,0,0.0
Borebi,2801,0,0.0
Botucatu,151053,0,0.0
Bragança Paulista,185688,0,0.0
Braúna,5477,0,0.0
Brejo Alegre,2605,0,0.0
Brodowski,26314,0,0.0
Brotas,24501,0,0.0
Buri,20731,0,0.0
Buritama,17658,0,0.0
Buritizal,4458,0,0.0
Cabrália Paulista,4360,0,0.0
Cabreúva,48654,0,0.0
Caçapava,100071,0,0.0
Vargem Grande do Sul,41256,0,0.0
Caconde,17228,0,0.0
Cafelândia,16907,0,0.0
Caiabu,3726,0,0.0
Caieiras,98549,0,0.0
Caiuá,5599,0,0.0
Cajamar,98365,0,0.0
Cajati,29262,0,0.0
Cajobi,9210,0,0.0
Cajuru,24233,0,0.0
Campina do Monte Alegre,6090,0,0.0
Campinas,1187974,0,0.0
Campo Limpo Paulista,79781,0,0.0
Campos do Jordão,47956,0,0.0
Campos Novos Paulista,5003,0,0.0
Cananéia,12491,0,0.0
Vargem Grande Paulista,52352,0,0.0
Cândido Mota,30157,0,0.0
Cândido Rodrigues,2959,0,0.0
Canitar,6589,0,0.0
Capão Bonito,47409,0,0.0
Capela do Alto,23777,0,0.0
Capivari,51369,0,0.0
Várzea Paulista,119655,0,0.0
Carapicuíba,398236,0,0.0
Cardoso,11476,0,0.0
Casa Branca,28779,0,0.0
Cássia dos Coqueiros,2861,0,0.0
Castilho,20485,0,0.0
Catanduva,119275,0,0.0
Catiguá,7101,0,0.0
Cedral,13314,0,0.0
Cerqueira César,22210,0,0.0
Cerquilho,46391,0,0.0
Cesário Lange,19707,0,0.0
Charqueada,15814,0,0.0
Clementina,7084,0,0.0
Colina,18880,0,0.0
Colômbia,6802,0,0.0
Conchal,29132,0,0.0
Conchas,15345,0,0.0
Cordeirópolis,25286,0,0.0
Coroados,5504,0,0.0
Coronel Macedo,4271,0,0.0
Corumbataí,4296,0,0.0
Cosmópolis,61167,0,0.0
Cosmorama,9019,0,0.0
Cotia,289493,0,0.0
Cravinhos,34307,0,0.0
Cristais Paulista,9600,0,0.0
Cruzália,2123,0,0.0
Vera Cruz,10274,0,0.0
Cubatão,114870,0,0.0
Vinhedo,79089,0,0.0
Descalvado,32663,0,0.0
Diadema,403579,0,0.0
Dirce Reis,1639,0,0.0
Divinolândia,11305,0,0.0
Dobrada,8986,0,0.0
Dois Córregos,24847,0,0.0
Dolcinópolis,2254,0,0.0
Dourado,8169,0,0.0
Dracena,46735,0,0.0
Duartina,12532,0,0.0
Dumont,9764,0,0.0
Echaporã,6291,0,0.0
Eldorado,13109,0,0.0
Elias Fausto,18168,0,0.0
Elisiário,3190,0,0.0
Embaúba,2349,0,0.0
Embu das Artes,259788,0,0.0
Embu-Guaçu,68913,0,0.0
Emilianópolis,3061,0,0.0
Engenheiro Coelho,20261,0,0.0
Espírito Santo do Pinhal,40610,0,0.0
Espírito Santo do Turvo,4214,0,0.0
Estrela d'Oeste,9696,0,0.0
Estrela do Norte,2751,0,0.0
Euclides da Cunha Paulista,7883,0,0.0
Fartura,17029,0,0.0
Fernandópolis,73508,0,0.0
Fernando Prestes,6080,0,0.0
Fernão,1692,0,0.0
Ferraz de Vasconcelos,186479,0,0.0
Flora Rica,1483,0,0.0
Floreal,2747,0,0.0
Flórida Paulista,13175,0,0.0
Florínea,4022,0,0.0
Florínia,4022,0,0.0
Franca,365494,0,0.0
Francisco Morato,171476,0,0.0
Franco da Rocha,150241,0,0.0
Gabriel Monteiro,2813,0,0.0
Gália,6413,0,0.0
Garça,43081,0,0.0
Gastão Vidigal,3203,0,0.0
Gavião Peixoto,4806,0,0.0
General Salgado,10437,0,0.0
Getulina,10337,0,0.0
Glicério,4158,0,0.0
Guaiçara,11478,0,0.0
Guaimbê,5609,0,0.0
Guaíra,40489,0,0.0
Guapiaçu,22445,0,0.0
Guapiara,17225,0,0.0
Guará,18748,0,0.0
Guaraçaí,7453,0,0.0
Guaraci,10554,0,0.0
Guarani d'Oeste,1999,0,0.0
Guarantã,6532,0,0.0
Guararapes,31888,0,0.0
Guararema,32620,0,0.0
Viradouro,17685,0,0.0
Guareí,15285,0,0.0
Guariba,38678,0,0.0
Guarujá,294871,0,0.0
Guarulhos,1349100,0,0.0
Guatapará,7474,0,0.0
Guzolândia,4259,0,0.0
Herculândia,9316,0,0.0
Holambra,15718,0,0.0
Hortolândia,248842,0,0.0
Iacanga,10648,0,0.0
Iacri,6197,0,0.0
Iaras,8313,0,0.0
Ibaté,33160,0,0.0
Ibirá,11952,0,0.0
Ibirarema,6450,0,0.0
Ibitinga,62143,0,0.0
Ibiúna,77801,0,0.0
Icém,7982,0,0.0
Iepê,7739,0,0.0
Igaraçu do Tietê,23421,0,0.0
Igarapava,26696,0,0.0
Votorantim,133510,0,0.0
Iguape,29891,0,0.0
Adamantina,35673,0,0.0
Ilha Comprida,14104,0,0.0
Ilha Solteira,26257,0,0.0
Indaiatuba,269657,0,0.0
Indiana,5200,0,0.0
Indiaporã,4113,0,0.0
Inúbia Paulista,3671,0,0.0
Ipaussu,13935,0,0.0
Iperó,38277,0,0.0
Ipeúna,7027,0,0.0
Ipiguá,7115,0,0.0
Iporanga,4083,0,0.0
Ipuã,14701,0,0.0
Iracemápolis,22500,0,0.0
Irapuã,6932,0,0.0
Irapuru,7120,0,0.0
Itaberá,18263,0,0.0
Itaí,25979,0,0.0
Itajobi,17502,0,0.0
Itaju,3715,0,0.0
Itanhaém,118495,0,0.0
Itaoca,3497,0,0.0
Itapecerica da Serra,163003,0,0.0
Itapetininga,164256,0,0.0
Itapeva,92393,0,0.0
Itapevi,242995,0,0.0
Itapira,74038,0,0.0
Itapirapuã Paulista,4420,0,0.0
Itápolis,40445,0,0.0
Itaporanga,14245,0,0.0
Itapuí,14035,0,0.0
Itapura,4002,0,0.0
Itaquaquecetuba,382983,0,0.0
Itararé,45213,0,0.0
Itariri,15916,0,0.0
Itatiba,127112,0,0.0
Itatinga,19462,0,0.0
Itirapina,16454,0,0.0
Itirapuã,5857,0,0.0
Itobi,8227,0,0.0
Itu,175047,0,0.0
Itupeva,74994,0,0.0
Ituverava,38413,0,0.0
Jaborandi,6280,0,0.0
Jaboticabal,73473,0,0.0
Vista Alegre do Alto,8368,0,0.0
Jaci,7944,0,0.0
Jacupiranga,16216,0,0.0
Jaguariúna,62309,0,0.0
Jales,50078,0,0.0
Álvaro de Carvalho,4901,0,0.0
Jandira,121550,0,0.0
Jardinópolis,47125,0,0.0
Jarinu,40007,0,0.0
Jaú,137409,0,0.0
Jeriquara,4000,0,0.0
Joanópolis,13131,0,0.0
João Ramalho,4464,0,0.0
José Bonifácio,37992,0,0.0
Júlio Mesquita,4302,0,0.0
Jumirim,3132,0,0.0
Jundiaí,463039,0,0.0
Junqueirópolis,20939,0,0.0
Juquiá,17184,0,0.0
Juquitiba,27969,0,0.0
Álvares Machado,28386,0,0.0
Laranjal Paulista,27044,0,0.0
Lavínia,9940,0,0.0
Uchoa,10670,0,0.0
Leme,101537,0,0.0
Lençóis Paulista,68568,0,0.0
Limeira,301292,0,0.0
Lindóia,7158,0,0.0
Lins,76844,0,0.0
Araçatuba,208415,0,0.0
Lourdes,1962,0,0.0
Louveira,54865,0,0.0
Lucélia,20378,0,0.0
Lucianópolis,2423,0,0.0
Luís Antônio,12564,0,0.0
Luiziânia,4740,0,0.0
Lupércio,4004,0,0.0
Lutécia,2697,0,0.0
Macatuba,17140,0,0.0
Macaubal,7581,0,0.0
Macedônia,4058,0,0.0
Magda,3211,0,0.0
Mairinque,51888,0,0.0
Mairiporã,97835,0,0.0
Manduri,10122,0,0.0
Marabá Paulista,4619,0,0.0
Maracaí,12804,0,0.0
Marapoama,3415,0,0.0
Mariápolis,3526,0,0.0
Marília,247348,0,0.0
Marinópolis,1862,0,0.0
Martinópolis,25240,0,0.0
Matão,81075,0,0.0
Mauá,429014,0,0.0
Mendonça,6420,0,0.0
Meridiano,4721,0,0.0
Mesópolis,1990,0,0.0
Miguelópolis,19621,0,0.0
Mineiros do Tietê,11322,0,0.0
Miracatu,18610,0,0.0
Mira Estrela,3209,0,0.0
Mirandópolis,28754,0,0.0
Mirante do Paranapanema,16031,0,0.0
Mirassol,65811,0,0.0
Mirassolândia,4783,0,0.0
Mococa,69372,0,0.0
Mogi das Cruzes,470302,0,0.0
Mogi Guaçu,160318,0,0.0
Mogi Mirim,95742,0,0.0
Mombuca,3830,0,0.0
Monções,1947,0,0.0
Mongaguá,64845,0,0.0
Monte Alegre do Sul,8923,0,0.0
Monte Alto,48758,0,0.0
Monte Aprazível,22668,0,0.0
Monte Azul Paulista,18337,0,0.0
Monte Castelo,4306,0,0.0
Monte Mor,67832,0,0.0
Morro Agudo,28521,0,0.0
Morungaba,14147,0,0.0
Motuca,4071,0,0.0
Murutinga do Sul,3748,0,0.0
Nantes,2697,0,0.0
Narandiba,5956,0,0.0
Nazaré Paulista,18675,0,0.0
Neves Paulista,9953,0,0.0
Nhandeara,9915,0,0.0
Nipoã,4876,0,0.0
Nova Aliança,6885,0,0.0
Nova Campina,8630,0,0.0
Nova Canaã Paulista,2055,0,0.0
Nova Castilho,1072,0,0.0
Nova Europa,9459,0,0.0
Nova Granada,19733,0,0.0
Nova Guataporanga,2188,0,0.0
Nova Independência,4847,0,0.0
Novais,4463,0,0.0
Nova Luzitânia,2817,0,0.0
Nova Odessa,64596,0,0.0
Novo Horizonte,39494,0,0.0
Nuporanga,7570,0,0.0
Ocauçu,4418,0,0.0
Óleo,2535,0,0.0
Olímpia,56874,0,0.0
Onda Verde,4942,0,0.0
Oriente,6180,0,0.0
Orindiúva,6157,0,0.0
Orlândia,39144,0,0.0
Osasco,759524,0,0.0
Oscar Bressane,2502,0,0.0
Osvaldo Cruz,32112,0,0.0
Ourinhos,106911,0,0.0
Ouroeste,10660,0,0.0
Ouro Verde,7900,0,0.0
Pacaembu,15273,0,0.0
Palestina,11704,0,0.0
Palmares Paulista,9666,0,0.0
Palmeira d'Oeste,8971,0,0.0
Palmital,19714,0,0.0
Panorama,15227,0,0.0
Paraguaçu Paulista,42049,0,0.0
Paraíso,6218,0,0.0
Paranapanema,19853,0,0.0
Paranapuã,4118,0,0.0
Parapuã,10720,0,0.0
Pardinho,7435,0,0.0
Pariquera-Açu,19603,0,0.0
Parisi,3030,0,0.0
Patrocínio Paulista,14888,0,0.0
Paulicéia,8255,0,0.0
Paulínia,116674,0,0.0
Paulistânia,2156,0,0.0
Paulo de Faria,7390,0,0.0
Pederneiras,46337,0,0.0
Pedra Bela,6745,0,0.0
Pedranópolis,2856,0,0.0
Pedregulho,15737,0,0.0
Pedreira,44385,0,0.0
Pedrinhas Paulista,2833,0,0.0
Pedro de Toledo,11617,0,0.0
Penápolis,63426,0,0.0
Pereira Barreto,24360,0,0.0
Pereiras,9013,0,0.0
Peruíbe,70629,0,0.0
Piacatu,5631,0,0.0
Piedade,54266,0,0.0
Pilar do Sul,28459,0,0.0
Pindorama,14704,0,0.0
Pinhalzinho,15676,0,0.0
Piquerobi,3287,0,0.0
Piracaia,26795,0,0.0
Piracicaba,440835,0,0.0
Piraju,30294,0,0.0
Pirajuí,22734,0,0.0
Pirangi,11085,0,0.0
Pirapora do Bom Jesus,18925,0,0.0
Pirapozinho,26097,0,0.0
Pirassununga,75594,0,0.0
Piratininga,15657,0,0.0
Pitangueiras,34361,0,0.0
Planalto,4451,0,0.0
Platina,3055,0,0.0
Poá,106355,0,0.0
Poloni,5702,0,0.0
Pompéia,20520,0,0.0
Pongaí,3440,0,0.0
Pontal,38286,0,0.0
Pontalinda,4198,0,0.0
Pontes Gestal,2411,0,0.0
Populina,4182,0,0.0
Porangaba,10850,0,0.0
Porto Feliz,58605,0,0.0
Porto Ferreira,53966,0,0.0
Potirendaba,19097,0,0.0
Pracinha,2589,0,0.0
Pradópolis,17299,0,0.0
Praia Grande,368539,0,0.0
Pratânia,5264,0,0.0
Presidente Alves,3830,0,0.0
Presidente Bernardes,14803,0,0.0
Presidente Epitácio,40322,0,0.0
Presidente Prudente,234706,0,0.0
Presidente Venceslau,35810,0,0.0
Promissão,35973,0,0.0
Quadra,3477,0,0.0
Quatá,13412,0,0.0
Queiroz,3366,0,0.0
Quintana,7260,0,0.0
Rafard,9145,0,0.0
Rancharia,29387,0,0.0
Redenção da Serra,4637,0,0.0
Regente Feijó,20620,0,0.0
Reginópolis,7820,0,0.0
Registro,61927,0,0.0
Restinga,6486,0,0.0
Ribeira,3158,0,0.0
Ribeirão Bonito,11040,0,0.0
Ribeirão Branco,18942,0,0.0
Ribeirão Corrente,4717,0,0.0
Ribeirão do Sul,4776,0,0.0
Ribeirão dos Índios,2040,0,0.0
Ribeirão Grande,7571,0,0.0
Ribeirão Pires,118954,0,0.0
Ribeirão Preto,731639,0,0.0
Riversul,5628,0,0.0
Rifaina,4179,0,0.0
Rincão,9101,0,0.0
Rinópolis,9334,0,0.0
Rio Claro,210323,0,0.0
Rio das Pedras,32329,0,0.0
Rio Grande da Serra,45324,0,0.0
Riolândia,10444,0,0.0
Rosana,17434,0,0.0
Rubiácea,2740,0,0.0
Rubinéia,3998,0,0.0
Sabino,5182,0,0.0
Sagres,2522,0,0.0
Sales,6645,0,0.0
Sales Oliveira,11683,0,0.0
Salesópolis,15381,0,0.0
Salmourão,4883,0,0.0
Saltinho,8407,0,0.0
Salto,141111,0,0.0
Salto de Pirapora,45262,0,0.0
Salto Grande,9221,0,0.0
Sandovalina,3697,0,0.0
Santa Adélia,14193,0,0.0
Santa Albertina,6566,0,0.0
Santa Bárbara d'Oeste,189456,0,0.0
Santa Branca,14219,0,0.0
Santa Clara d'Oeste,2694,0,0.0
Santa Cruz da Conceição,4375,0,0.0
Santa Cruz da Esperança,2168,0,0.0
Santa Cruz das Palmeiras,29489,0,0.0
Santa Cruz do Rio Pardo,47759,0,0.0
Santa Ernestina,6274,0,0.0
Santa Fé do Sul,36288,0,0.0
Santa Gertrudes,23192,0,0.0
Santa Lúcia,7144,0,0.0
Santa Maria da Serra,5308,0,0.0
Santa Mercedes,3017,0,0.0
Santana da Ponte Pensa,1699,0,0.0
Santana de Parnaíba,163787,0,0.0
Santa Rita d'Oeste,2796,0,0.0
Santa Rita do Passa Quatro,24996,0,0.0
Santa Rosa de Viterbo,23710,0,0.0
Santa Salete,1692,0,0.0
Santo Anastácio,17960,0,0.0
Santo André,782048,0,0.0
Santo Antônio da Alegria,6933,0,0.0
Santo Antônio de Posse,23867,0,0.0
Santo Antônio do Aracanguá,8593,0,0.0
Santo Antônio do Jardim,6243,0,0.0
Santo Antônio do Pinhal,7314,0,0.0
Santo Expedito,3069,0,0.0
Santópolis do Aguapeí,3921,0,0.0
Santos,429547,0,0.0
São Bernardo do Campo,841154,0,0.0
São Caetano do Sul,172693,0,0.0
São Carlos,266427,0,0.0
São Francisco,2623,0,0.0
São João da Boa Vista,96080,0,0.0
São João das Duas Pontes,2623,0,0.0
São João de Iracema,1882,0,0.0
São João do Pau d'Alho,2293,0,0.0
São Joaquim da Barra,49885,0,0.0
São José da Bela Vista,7664,0,0.0
São José do Barreiro,3888,0,0.0
São José do Rio Pardo,53427,0,0.0
São José do Rio Preto,504166,0,0.0
São Lourenço da Serra,16479,0,0.0
São Luiz do Paraitinga,10487,0,0.0
São Manuel,38131,0,0.0
São Miguel Arcanjo,32924,0,0.0
São Paulo,11904961,0,0.0
São Pedro,39855,0,0.0
São Pedro do Turvo,7333,0,0.0
São Roque,81366,0,0.0
São Sebastião,84280,0,0.0
São Sebastião da Grama,10428,0,0.0
São Simão,13560,0,0.0
São Vicente,338326,0,0.0
Sarapuí,10677,0,0.0
Sarutaiá,3772,0,0.0
Sebastianópolis do Sul,3191,0,0.0
Serra Azul,13108,0,0.0
Serrana,45580,0,0.0
Serra Negra,31047,0,0.0
Sertãozinho,132176,0,0.0
Sete Barras,12903,0,0.0
Severínia,14693,0,0.0
Socorro,41527,0,0.0
Sorocaba,762172,0,0.0
Sud Mennucci,7464,0,0.0
Sumaré,291116,0,0.0
Suzano,320261,0,0.0
Suzanápolis,3465,0,0.0
Tabapuã,11498,0,0.0
Tabatinga,14997,0,0.0
Taboão da Serra,285307,0,0.0
Taciba,6418,0,0.0
Taguaí,13068,0,0.0
Taiaçu,5744,0,0.0
Taiúva,6770,0,0.0
Tambaú,21650,0,0.0
Tanabi,26071,0,0.0
Tapiraí,8122,0,0.0
Tapiratiba,11903,0,0.0
Taquaral,2649,0,0.0
Taquaritinga,53264,0,0.0
Taquarituba,24932,0,0.0
Taquarivaí,7170,0,0.0
Tarabai,6633,0,0.0
Tarumã,15315,0,0.0
Tatuí,129130,0,0.0
Tejupá,4119,0,0.0
Teodoro Sampaio,22598,0,0.0
Terra Roxa,7965,0,0.0
Tietê,38723,0,0.0
Timburi,2484,0,0.0
Torre de Pedra,2056,0,0.0
Torrinha,9484,0,0.0
Trabiju,1724,0,0.0
Três Fronteiras,7060,0,0.0
Tuiuti,6976,0,0.0
Tupã,65433,0,0.0
Tupi Paulista,16259,0,0.0
Turiúba,1835,0,0.0
Turmalina,1662,0,0.0
Ubarana,5458,0,0.0
Ubirajara,5289,0,0.0
Chavantes,12415,0,0.0
União Paulista,1628,0,0.0
Urânia,8973,0,0.0
Uru,1424,0,0.0
Potim,20801,1,4.81
Tremembé,53426,5,9.36
Santa Isabel,54691,8,14.63
Jambeiro,6611,1,15.13
Cachoeira Paulista,32534,5,15.37
Ilhabela,36559,6,16.41
Roseira,11137,2,17.96
Pindamonhangaba,172681,32,18.53
São José dos Campos,727078,135,18.57
Taubaté,322397,62,19.23
Lagoinha,5183,1,19.29
Jacareí,250952,49,19.53
Cruzeiro,76444,15,19.62
Bananal,10097,2,19.81
Guaratinguetá,121916,26,21.33
Lorena,87468,19,21.72
Caraguatatuba,142248,31,21.79
Monteiro Lobato,4205,1,23.78
Piquete,12516,3,23.97
São Bento do Sapucaí,11989,3,25.02
Lavrinhas,7348,2,27.22
Igaratá,10984,3,27.31
Vargem,10863,3,27.62
Natividade da Serra,7155,2,27.95
Ubatuba,97096,28,28.84
Silveiras,6329,2,31.6
Aparecida,33141,13,39.23
Cunha,22460,9,40.07
Arapeí,2355,1,42.46
Paraibuna,17959,8,44.55
Queluz,9074,5,55.1
Areias,3617,2,55.29
Canas,5068,3,59.19
