Município,Populacao_2025
Adamantina,35673
Adolfo,4505
Aguaí,32886
Águas da Prata,7463
Águas de Lindóia,18257
Águas de Santa Bárbara,7460
Águas de São Pedro,2928
Agudos,38988
Alambari,6373
Alfredo Marcondes,4574
Altair,3467
Altinópolis,17197
Alto Alegre,3874
Alumínio,17607
Álvares Florence,3979
Álvares Machado,28386
Álvaro de Carvalho,4901
Alvinlândia,2919
Americana,247571
Américo Brasiliense,33708
Américo de Campos,5981
Amparo,69792
Analândia,4694
Andradina,61625
Angatuba,24573
Anhembi,5766
Anhumas,4118
Aparecida,33141
Aparecida d'Oeste,4112
Apiaí,24857
Araçariguama,22314
Araçatuba,208415
Araçoiaba da Serra,33832
Aramina,5535
Arandu,7076
Arapeí,2355
Araraquara,253474
Araras,135744
Arco-Íris,2089
Arealva,8290
Areias,3617
Areiópolis,10242
Ariranha,7621
Artur Nogueira,53467
Arujá,90273
Aspásia,1875
Assis,104858
Atibaia,167161
Auriflama,13856
Avaí,4503
Avanhandava,11436
Avaré,96450
Bady Bassitt,29346
Balbinos,3969
Bálsamo,9902
Bananal,10097
Barão de Antonina,3632
Barbosa,5627
Bariri,32406
Barra Bonita,35129
Barra do Chapéu,5254
Barra do Turvo,6894
Barretos,126957
Barrinha,33304
Barueri,333737
Bastos,21936
Batatais,59939
Bauru,392947
Bebedouro,78257
Bento de Abreu,2640
Bernardino de Campos,11881
Bertioga,67436
Bilac,7464
Birigui,123340
Biritiba-Mirim,30564
Boa Esperança do Sul,13113
Bocaina,11480
Bofete,10710
Boituva,63850
Bom Jesus dos Perdões,22579
Bom Sucesso de Itararé,3609
Borá,932
Boracéia,4838
Borborema,14405
Borebi,2801
Botucatu,151053
Bragança Paulista,185688
Braúna,5477
Brejo Alegre,2605
Brodowski,26314
Brotas,24501
Buri,20731
Buritama,17658
Buritizal,4458
Cabrália Paulista,4360
Cabreúva,48654
Caçapava,100071
Cachoeira Paulista,32534
Caconde,17228
Cafelândia,16907
Caiabu,3726
Caieiras,98549
Caiuá,5599
Cajamar,98365
Cajati,29262
Cajobi,9210
Cajuru,24233
Campina do Monte Alegre,6090
Campinas,1187974
Campo Limpo Paulista,79781
Campos do Jordão,47956
Campos Novos Paulista,5003
Cananéia,12491
Canas,5068
Cândido Mota,30157
Cândido Rodrigues,2959
Canitar,6589
Capão Bonito,47409
Capela do Alto,23777
Capivari,51369
Caraguatatuba,142248
Carapicuíba,398236
Cardoso,11476
Casa Branca,28779
Cássia dos Coqueiros,2861
Castilho,20485
Catanduva,119275
Catiguá,7101
Cedral,13314
Cerqueira César,22210
Cerquilho,46391
Cesário Lange,19707
Charqueada,15814
Clementina,7084
Colina,18880
Colômbia,6802
Conchal,29132
Conchas,15345
Cordeirópolis,25286
Coroados,5504
Coronel Macedo,4271
Corumbataí,4296
Cosmópolis,61167
Cosmorama,9019
Cotia,289493
Cravinhos,34307
Cristais Paulista,9600
Cruzália,2123
Cruzeiro,76444
Cubatão,114870
Cunha,22460
Descalvado,32663
Diadema,403579
Dirce Reis,1639
Divinolândia,11305
Dobrada,8986
Dois Córregos,24847
Dolcinópolis,2254
Dourado,8169
Dracena,46735
Duartina,12532
Dumont,9764
Echaporã,6291
Eldorado,13109
Elias Fausto,18168
Elisiário,3190
Embaúba,2349
Embu das Artes,259788
Embu-Guaçu,68913
Emilianópolis,3061
Engenheiro Coelho,20261
Espírito Santo do Pinhal,40610
Espírito Santo do Turvo,4214
Estrela d'Oeste,9696
Estrela do Norte,2751
Euclides da Cunha Paulista,7883
Fartura,17029
Fernandópolis,73508
Fernando Prestes,6080
Fernão,1692
Ferraz de Vasconcelos,186479
Flora Rica,1483
Floreal,2747
Flórida Paulista,13175
Florínea,4022
Florínia,4022
Franca,365494
Francisco Morato,171476
Franco da Rocha,150241
Gabriel Monteiro,2813
Gália,6413
Garça,43081
Gastão Vidigal,3203
Gavião Peixoto,4806
General Salgado,10437
Getulina,10337
Glicério,4158
Guaiçara,11478
Guaimbê,5609
Guaíra,40489
Guapiaçu,22445
Guapiara,17225
Guará,18748
Guaraçaí,7453
Guaraci,10554
Guarani d'Oeste,1999
Guarantã,6532
Guararapes,31888
Guararema,32620
Guaratinguetá,121916
Guareí,15285
Guariba,38678
Guarujá,294871
Guarulhos,1349100
Guatapará,7474
Guzolândia,4259
Herculândia,9316
Holambra,15718
Hortolândia,248842
Iacanga,10648
Iacri,6197
Iaras,8313
Ibaté,33160
Ibirá,11952
Ibirarema,6450
Ibitinga,62143
Ibiúna,77801
Icém,7982
Iepê,7739
Igaraçu do Tietê,23421
Igarapava,26696
Igaratá,10984
Iguape,29891
Ilhabela,36559
Ilha Comprida,14104
Ilha Solteira,26257
Indaiatuba,269657
Indiana,5200
Indiaporã,4113
Inúbia Paulista,3671
Ipaussu,13935
Iperó,38277
Ipeúna,7027
Ipiguá,7115
Iporanga,4083
Ipuã,14701
Iracemápolis,22500
Irapuã,6932
Irapuru,7120
Itaberá,18263
Itaí,25979
Itajobi,17502
Itaju,3715
Itanhaém,118495
Itaoca,3497
Itapecerica da Serra,163003
Itapetininga,164256
Itapeva,92393
Itapevi,242995
Itapira,74038
Itapirapuã Paulista,4420
Itápolis,40445
Itaporanga,14245
Itapuí,14035
Itapura,4002
Itaquaquecetuba,382983
Itararé,45213
Itariri,15916
Itatiba,127112
Itatinga,19462
Itirapina,16454
Itirapuã,5857
Itobi,8227
Itu,175047
Itupeva,74994
Ituverava,38413
Jaborandi,6280
Jaboticabal,73473
Jacareí,250952
Jaci,7944
Jacupiranga,16216
Jaguariúna,62309
Jales,50078
Jambeiro,6611
Jandira,121550
Jardinópolis,47125
Jarinu,40007
Jaú,137409
Jeriquara,4000
Joanópolis,13131
João Ramalho,4464
José Bonifácio,37992
Júlio Mesquita,4302
Jumirim,3132
Jundiaí,463039
Junqueirópolis,20939
Juquiá,17184
Juquitiba,27969
Lagoinha,5183
Laranjal Paulista,27044
Lavínia,9940
Lavrinhas,7348
Leme,101537
Lençóis Paulista,68568
Limeira,301292
Lindóia,7158
Lins,76844
Lorena,87468
Lourdes,1962
Louveira,54865
Lucélia,20378
Lucianópolis,2423
Luís Antônio,12564
Luiziânia,4740
Lupércio,4004
Lutécia,2697
Macatuba,17140
Macaubal,7581
Macedônia,4058
Magda,3211
Mairinque,51888
Mairiporã,97835
Manduri,10122
Marabá Paulista,4619
Maracaí,12804
Marapoama,3415
Mariápolis,3526
Marília,247348
Marinópolis,1862
Martinópolis,25240
Matão,81075
Mauá,429014
Mendonça,6420
Meridiano,4721
Mesópolis,1990
Miguelópolis,19621
Mineiros do Tietê,11322
Miracatu,18610
Mira Estrela,3209
Mirandópolis,28754
Mirante do Paranapanema,16031
Mirassol,65811
Mirassolândia,4783
Mococa,69372
Mogi das Cruzes,470302
Mogi Guaçu,160318
Mogi Mirim,95742
Mombuca,3830
Monções,1947
Mongaguá,64845
Monte Alegre do Sul,8923
Monte Alto,48758
Monte Aprazível,22668
Monte Azul Paulista,18337
Monte Castelo,4306
Monteiro Lobato,4205
Monte Mor,67832
Morro Agudo,28521
Morungaba,14147
Motuca,4071
Murutinga do Sul,3748
Nantes,2697
Narandiba,5956
Natividade da Serra,7155
Nazaré Paulista,18675
Neves Paulista,9953
Nhandeara,9915
Nipoã,4876
Nova Aliança,6885
Nova Campina,8630
Nova Canaã Paulista,2055
Nova Castilho,1072
Nova Europa,9459
Nova Granada,19733
Nova Guataporanga,2188
Nova Independência,4847
Novais,4463
Nova Luzitânia,2817
Nova Odessa,64596
Novo Horizonte,39494
Nuporanga,7570
Ocauçu,4418
Óleo,2535
Olímpia,56874
Onda Verde,4942
Oriente,6180
Orindiúva,6157
Orlândia,39144
Osasco,759524
Oscar Bressane,2502
Osvaldo Cruz,32112
Ourinhos,106911
Ouroeste,10660
Ouro Verde,7900
Pacaembu,15273
Palestina,11704
Palmares Paulista,9666
Palmeira d'Oeste,8971
Palmital,19714
Panorama,15227
Paraguaçu Paulista,42049
Paraibuna,17959
Paraíso,6218
Paranapanema,19853
Paranapuã,4118
Parapuã,10720
Pardinho,7435
Pariquera-Açu,19603
Parisi,3030
Patrocínio Paulista,14888
Paulicéia,8255
Paulínia,116674
Paulistânia,2156
Paulo de Faria,7390
Pederneiras,46337
Pedra Bela,6745
Pedranópolis,2856
Pedregulho,15737
Pedreira,44385
Pedrinhas Paulista,2833
Pedro de Toledo,11617
Penápolis,63426
Pereira Barreto,24360
Pereiras,9013
Peruíbe,70629
Piacatu,5631
Piedade,54266
Pilar do Sul,28459
Pindamonhangaba,172681
Pindorama,14704
Pinhalzinho,15676
Piquerobi,3287
Piquete,12516
Piracaia,26795
Piracicaba,440835
Piraju,30294
Pirajuí,22734
Pirangi,11085
Pirapora do Bom Jesus,18925
Pirapozinho,26097
Pirassununga,75594
Piratininga,15657
Pitangueiras,34361
Planalto,4451
Platina,3055
Poá,106355
Poloni,5702
Pompéia,20520
Pongaí,3440
Pontal,38286
Pontalinda,4198
Pontes Gestal,2411
Populina,4182
Porangaba,10850
Porto Feliz,58605
Porto Ferreira,53966
Potim,20801
Potirendaba,19097
Pracinha,2589
Pradópolis,17299
Praia Grande,368539
Pratânia,5264
Presidente Alves,3830
Presidente Bernardes,14803
Presidente Epitácio,40322
Presidente Prudente,234706
Presidente Venceslau,35810
Promissão,35973
Quadra,3477
Quatá,13412
Queiroz,3366
Queluz,9074
Quintana,7260
Rafard,9145
Rancharia,29387
Redenção da Serra,4637
Regente Feijó,20620
Reginópolis,7820
Registro,61927
Restinga,6486
Ribeira,3158
Ribeirão Bonito,11040
Ribeirão Branco,18942
Ribeirão Corrente,4717
Ribeirão do Sul,4776
Ribeirão dos Índios,2040
Ribeirão Grande,7571
Ribeirão Pires,118954
Ribeirão Preto,731639
Riversul,5628
Rifaina,4179
Rincão,9101
Rinópolis,9334
Rio Claro,210323
Rio das Pedras,32329
Rio Grande da Serra,45324
Riolândia,10444
Rosana,17434
Roseira,11137
Rubiácea,2740
Rubinéia,3998
Sabino,5182
Sagres,2522
Sales,6645
Sales Oliveira,11683
Salesópolis,15381
Salmourão,4883
Saltinho,8407
Salto,141111
Salto de Pirapora,45262
Salto Grande,9221
Sandovalina,3697
Santa Adélia,14193
Santa Albertina,6566
Santa Bárbara d'Oeste,189456
Santa Branca,14219
Santa Clara d'Oeste,2694
Santa Cruz da Conceição,4375
Santa Cruz da Esperança,2168
Santa Cruz das Palmeiras,29489
Santa Cruz do Rio Pardo,47759
Santa Ernestina,6274
Santa Fé do Sul,36288
Santa Gertrudes,23192
Santa Isabel,54691
Santa Lúcia,7144
Santa Maria da Serra,5308
Santa Mercedes,3017
Santana da Ponte Pensa,1699
Santana de Parnaíba,163787
Santa Rita d'Oeste,2796
Santa Rita do Passa Quatro,24996
Santa Rosa de Viterbo,23710
Santa Salete,1692
Santo Anastácio,17960
Santo André,782048
Santo Antônio da Alegria,6933
Santo Antônio de Posse,23867
Santo Antônio do Aracanguá,8593
Santo Antônio do Jardim,6243
Santo Antônio do Pinhal,7314
Santo Expedito,3069
Santópolis do Aguapeí,3921
Santos,429547
São Bento do Sapucaí,11989
São Bernardo do Campo,841154
São Caetano do Sul,172693
São Carlos,266427
São Francisco,2623
São João da Boa Vista,96080
São João das Duas Pontes,2623
São João de Iracema,1882
São João do Pau d'Alho,2293
São Joaquim da Barra,49885
São José da Bela Vista,7664
São José do Barreiro,3888
São José do Rio Pardo,53427
São José do Rio Preto,504166
São José dos Campos,727078
São Lourenço da Serra,16479
São Luiz do Paraitinga,10487
São Manuel,38131
São Miguel Arcanjo,32924
São Paulo,11904961
São Pedro,39855
São Pedro do Turvo,7333
São Roque,81366
São Sebastião,84280
São Sebastião da Grama,10428
São Simão,13560
São Vicente,338326
Sarapuí,10677
Sarutaiá,3772
Sebastianópolis do Sul,3191
Serra Azul,13108
Serrana,45580
Serra Negra,31047
Sertãozinho,132176
Sete Barras,12903
Severínia,14693
Silveiras,6329
Socorro,41527
Sorocaba,762172
Sud Mennucci,7464
Sumaré,291116
Suzano,320261
Suzanápolis,3465
Tabapuã,11498
Tabatinga,14997
Taboão da Serra,285307
Taciba,6418
Taguaí,13068
Taiaçu,5744
Taiúva,6770
Tambaú,21650
Tanabi,26071
Tapiraí,8122
Tapiratiba,11903
Taquaral,2649
Taquaritinga,53264
Taquarituba,24932
Taquarivaí,7170
Tarabai,6633
Tarumã,15315
Tatuí,129130
Taubaté,322397
Tejupá,4119
Teodoro Sampaio,22598
Terra Roxa,7965
Tietê,38723
Timburi,2484
Torre de Pedra,2056
Torrinha,9484
Trabiju,1724
Tremembé,53426
Três Fronteiras,7060
Tuiuti,6976
Tupã,65433
Tupi Paulista,16259
Turiúba,1835
Turmalina,1662
Ubarana,5458
Ubatuba,97096
Ubirajara,5289
Uchoa,10670
União Paulista,1628
Urânia,8973
Uru,1424
Urupês,14073
Valentim Gentil,14634
Valinhos,132258
Valparaíso,24779
Vargem,10863
Vargem Grande do Sul,41256
Vargem Grande Paulista,52352
Várzea Paulista,119655
Vera Cruz,10274
Vinhedo,79089
Viradouro,17685
Vista Alegre do Alto,8368
Vitória Brasil,1828
Votorantim,133510
Votuporanga,100568
Zacarias,2773
Chavantes,12415
Estiva Gerbi,11609