Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC
PR/SP0199075,22/04/2020,1263296,AUTO POSTO E RESTAURANTE APARECIDA LTDA,43663160000395,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 84                     3,MOREIRA CESAR,12440245,SP,PINDAMONHANGABA,BANDEIRA BRANCA,14/07/2023,NÃO,,,ADIMPLENTE
PR/SP0199661,26/05/2020,1264008,AUTO POSTO E RESTAURANTE APARECIDA LTDA,43663160000476,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 88,MOREIRA CESAR,12440245,SP,PINDAMONHANGABA,BANDEIRA BRANCA,26/05/2020,NÃO,,,ADIMPLENTE
PR/SP0030680,22/02/2003,1020671,POSTO ARCO IRIS DE ROSEIRA LTDA,43667922000160,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    82,PIRAPITINGUY,12582031,SP,ROSEIRA,VIBRA,22/02/2003,NÃO,,,ADIMPLENTE
PR/SP0015818,10/10/2001,1020869,CRIS AUTO POSTO LTDA,44339638000127,"AVENIDA DA REPUBLICA,  741",,CENTRO,7500000,SP,SANTA ISABEL,BANDEIRA BRANCA,25/03/2008,NÃO,,,ADIMPLENTE
PR/SP0021046,07/02/2002,1020870,AUTO POSTO MONTE SERRAT LTDA,44340248000177,"RUA CONSELHEIRO RODRIGUES ALVES,  60",,CENTRO,7500000,SP,SANTA ISABEL,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0228838,22/08/2022,1286518,AUTO POSTO JARDIM OLIVEIRA LTDA,45026257000150,"AVENIDA SOLON PEREIRA,  257",,JARDIM PARAIBA,12575212,SP,APARECIDA,BANDEIRA BRANCA,22/08/2022,NÃO,,,ADIMPLENTE
PR/SP0008220,24/04/2001,1021137,POSTO TUPY LTDA,45198199000142,"RUA CEL JOSE DE CASTRO,  790",,CENTRO,12701450,SP,CRUZEIRO,VIBRA,24/04/2001,NÃO,,,ADIMPLENTE
PR/SP0012165,30/08/2001,1021143,J L FIGUEIREDO & FILHOS LTDA,45219151000173,"AVENIDA GODOY NETO,  58",,OLARIA,12607060,SP,LORENA,VIBRA,30/08/2001,NÃO,,,ADIMPLENTE
PR/SP0023339,12/03/2002,1021144,LINDEN ADMINISTRACAO PARTICIPACOES EMPREENDIMENTOS E SE,45224128000177,"AVENIDA NOSSA SENHORA DO BOM SUCESSO,  1.754",,ALTO DO CARDOSO,12420010,SP,PINDAMONHANGABA,VIBRA,12/03/2002,NÃO,,,ADIMPLENTE
PR/SP0017308,14/11/2001,1021159,AUTO POSTO FONTE LUMINOSA SAO PAULO LTDA,45295615000120,"RUA CEL. MARTINS,  217",,CENTRO,12260005,SP,PARAIBUNA,BANDEIRA BRANCA,14/11/2001,NÃO,,,ADIMPLENTE
PR/SP0247130,01/07/2024,1021300,REDE DE POSTOS SETE ESTRELAS LTDA,45694437000372,"RUA ANTONIO JOSE DA CRUZ,  923",,VILA WASHINGTON BELEZA,12702530,SP,CRUZEIRO,BANDEIRA BRANCA,01/07/2024,NÃO,,,ADIMPLENTE
PR/SP0026898,03/09/2002,1021304,REDE DE POSTOS SETE ESTRELAS LTDA,45694437000534,"AVENIDA ROTARY CLUBE,  768",,JARDIM AMÉRICA,12702010,SP,CRUZEIRO,BANDEIRA BRANCA,03/09/2002,NÃO,,,ADIMPLENTE
PR/SP0182303,15/02/2005,1035603,REDE DE POSTOS SETE ESTRELAS LTDA,45694437001506,"AVENIDA NOSSA SENHORA DO BOM SUCESSO,  1600",,ALTO DO CARDOSO,12420010,SP,PINDAMONHANGABA,BANDEIRA BRANCA,02/05/2005,NÃO,,,ADIMPLENTE
PR/SP0063462,12/12/2008,1105851,REDE DE POSTOS SETE ESTRELAS LTDA,45694437002740,"AVENIDA MARGINAL,  323",,LAZARO,11680000,SP,UBATUBA,BANDEIRA BRANCA,12/12/2008,NÃO,,,ADIMPLENTE
PR/SP0031337,28/03/2003,1021390,AUTO POSTO PAI TOMAZ LTDA,46156634000139,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    47,ALTO DO CRUZEIRO,12615000,SP,CANAS,IPIRANGA,20/10/2025,NÃO,,,ADIMPLENTE
PR/SP0025690,29/05/2002,1021519,F.J.M BORGES E CIA LTDA,46668505000120,"AVENIDA NESRALLA RUBEZ,  04",,CENTRO,12700000,SP,CRUZEIRO,VIBRA,29/05/2002,NÃO,,,ADIMPLENTE
PR/SP0023464,12/03/2002,1021580,AUTO POSTO CARAGUA LTDA,46979779000130,"AVENIDA MIGUEL VARLEZ,  401",,CENTRO,11660650,SP,CARAGUATATUBA,RAIZEN,12/03/2002,NÃO,,,ADIMPLENTE
PR/SP0004897,20/03/2001,1021614,AUTO POSTO PASSOS & PASSOS LTDA - EPP,47081732000117,"RUA BARAO DO RIO BRANCO,  309",,CENTRO,12570000,SP,APARECIDA,BANDEIRA BRANCA,20/03/2001,NÃO,,,ADIMPLENTE
PR/SP0244948,09/01/2024,1298330,AUTO POSTO CAVALO MARINHO DE CARAGUA LTDA,47352019000160,"AVENIDA JOSE HERCULANO,  7436",,JARDIM PORTO NOVO,11667000,SP,CARAGUATATUBA,IPIRANGA,09/01/2024,NÃO,,,ADIMPLENTE
PR/SP0021770,10/01/2002,1021674,ANTONIO RUBENS FERNANDES - ME,47372719000117,"ESTRADA PARTICULAR,  63",,GUARAIUVA,12935000,SP,VARGEM,BANDEIRA BRANCA,10/01/2002,NÃO,,,ADIMPLENTE
PR/SP0005583,04/04/2001,1021736,AUTO POSTO MALERBA LTDA,47562822000120,"PRACA PREF. ROZENDO P. LEITE,  7",,CENTRO,12604080,SP,LORENA,RAIZEN,04/04/2001,NÃO,,,ADIMPLENTE
PR/SP0173654,01/09/2004,1032280,POSTO B B COMERCIAL LTDA,47967229000163,"RODOVIA BR 459 LORENA ITAJUBA,  S N",KM 64,SEDE,12620000,SP,PIQUETE,IPIRANGA,19/01/2018,NÃO,,,ADIMPLENTE
PR/SP0244132,23/10/2023,1296501,AUTO POSTO BR 116 LTDA,48085695000188,"RODOVIA PRESIDENTE DUTRA,  SN",KM    73,SAO ROQUE,12573240,SP,APARECIDA,IPIRANGA,23/10/2023,NÃO,,,ADIMPLENTE
PR/SP0018130,03/12/2001,1021851,AUTO POSTO PARAIBUNA LTDA,48287601000153,"PRACA MAJ MARC A DE MOURA,  02",,,12260000,SP,PARAIBUNA,VIBRA,03/12/2001,NÃO,,,ADIMPLENTE
PR/SP0029376,29/11/2002,1021989,AUTO POSTO LAGOINHA LTDA,48974869000163,"AVENIDA MAJOR SOARES,  225",,CENTRO,12130000,SP,LAGOINHA,VIBRA,29/11/2002,NÃO,,,ADIMPLENTE
PR/SP0011464,12/07/2001,1022044,AUTO POSTO MARELI LTDA,49191232000163,"AVENIDA ANCHIETA,  909",R. DR ALTINO ARANTES      N 586,CENTRO,11660010,SP,CARAGUATATUBA,IPIRANGA,12/07/2001,NÃO,,,ADIMPLENTE
PR/SP0023499,15/03/2002,1022184,POSTO DA FIGUEIRA LORENA LTDA,50000637000156,"RODOVIA PRESIDENTE DUTRA,  2.600",KM    55,PARQUE MONDESIR,12605530,SP,LORENA,BANDEIRA BRANCA,15/03/2002,NÃO,,,ADIMPLENTE
PR/SP0021925,18/01/2002,1022228,AUTO POSTO CIDADE NOVA PINDAMONHANGABA LTDA,50307644000103,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 94,CIDADE NOVA,12400000,SP,PINDAMONHANGABA,VIBRA,30/01/2009,NÃO,,,ADIMPLENTE
PR/SP0246655,15/05/2024,1301580,NOVA ZELANDIA AUTO POSTO LTDA,50316011000153,"AVENIDA FREI PACIFICO WAGNER,  18",,CENTRO,11660280,SP,CARAGUATATUBA,BANDEIRA BRANCA,15/05/2024,NÃO,,,ADIMPLENTE
PR/SP0247059,21/06/2024,1302385,AUTO POSTO REDE WILL LTDA,50874976000161,"AVENIDA PRESIDENTE CASTELO BRANCO,  687",,SUMARÉ,11613300,SP,CARAGUATATUBA,BANDEIRA BRANCA,21/06/2024,NÃO,,,ADIMPLENTE
PR/SP0019560,18/01/2002,1022308,A. DUARTE TZITZI & CIA LTDA,50882125000160,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 09,CENTRO,12060670,SP,QUELUZ,BANDEIRA BRANCA,12/03/2007,NÃO,,,ADIMPLENTE
PR/SP0025251,14/05/2002,1022347,AUTO POSTO JAMBEIRENSE LTDA,51036572000161,"RUA ANTONIO DE CASTRO LEITE,  179",,CENTRO,12270000,SP,JAMBEIRO,VIBRA,14/05/2002,NÃO,,,ADIMPLENTE
PR/SP0173169,03/09/2004,1032281,AUTO POSTO CONDE LTDA,51784098000156,"AVENIDA TARGINO VILELA NUNES,  474",,VILA NUNES,12600350,SP,LORENA,BANDEIRA BRANCA,25/09/2018,NÃO,,,ADIMPLENTE
PR/SP0006350,24/04/2001,1022459,POSTO CENTRAL DE SANTA ISABEL LTDA,52114220000140,"RUA SANTA CRUZ,  30",,CENTRO,7500000,SP,SANTA ISABEL,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0005675,04/04/2001,1022484,AUTO POSTO SANTA RITA DE APARECIDA UNIPESSOAL LTDA,52293396000106,"AVENIDA GETULIO VARGAS,  823",,SANTA RITA,12570000,SP,APARECIDA,IPIRANGA,02/10/2023,NÃO,,,ADIMPLENTE
PR/SP0024614,03/04/2002,1022558,AUTO POSTO T R PINHO LTDA,52889656000100,"RUA CORONEL AQUILES PEDERNEIRAS,  130",TERREOESQ.AV.CEL.MARCIANO,SANTO ANTONIO,12608600,SP,LORENA,BANDEIRA BRANCA,03/04/2002,NÃO,,,ADIMPLENTE
PR/SP0023938,03/04/2002,1022593,AUTO POSTO JOIA DA DUTRA LTDA,53163580000102,"RODOVIA PRESIDENTE DUTRA,  S/N","KM 87,5",MOREIRA CESAR,12440970,SP,PINDAMONHANGABA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0252341,19/03/2026,1317245,AUTO POSTO FACILL CENTRAL LTDA,53198532000141,"RUA PRUDENTE DE MORAES,  425",,CENTRO,12400230,SP,PINDAMONHANGABA,BANDEIRA BRANCA,19/03/2026,NÃO,,,ADIMPLENTE
PR/SP0018138,03/12/2001,1022671,AUTO POSTO TANGERINO LTDA,53651907000187,"AVENIDA PRINCESA ISABEL,  383",,BARRA VELHA,11630067,SP,ILHABELA,IPIRANGA,07/08/2014,NÃO,,,ADIMPLENTE
PR/SP0010975,12/07/2001,1022712,B.V.MIGOTO & MIGOTO LTDA,53872784000104,"RUA BARAO DO RIO BRANCO,  220",,CENTRO,12570000,SP,APARECIDA,VIBRA,03/08/2011,NÃO,,,ADIMPLENTE
PR/SP0017916,04/03/2011,1022744,AUTO POSTO ROTA DO SOL LTDA,54050869000170,"AVENIDA RIO BRANCO,  383",,INDAIA,11674210,SP,CARAGUATATUBA,RAIZEN,20/01/2014,NÃO,,,ADIMPLENTE
PR/SP0023277,05/03/2002,1022766,AUTO POSTO AVENIDA BOM SUCESSO LTDA,54125844000198,"AVENIDA N SRA DO BOM SUCESSO,  841",,CAMPO ALEGRE,12420010,SP,PINDAMONHANGABA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0019849,23/01/2002,1022767,AUTO POSTO LIDER PINDAMONHANGABA LTDA,54126669000153,"RUA SAO JOAO BOSCO,  930",SANTANA,TABAU,12403010,SP,PINDAMONHANGABA,RAIZEN,18/05/2011,NÃO,,,ADIMPLENTE
PR/SP0024688,03/04/2002,1022824,AUTO POSTO KAMOME LTDA,54549159000199,"RODOVIA BR 101,  SN",KM 50,ESTUFA,11680000,SP,UBATUBA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0192642,10/06/2019,1254557,CENTRO AUTOMOTIVO SETE ESTRELAS LTDA,55278543000833,"LARGO COMENDADOR FREIRE,  30",,CENTRO,12250000,SP,MONTEIRO LOBATO,BANDEIRA BRANCA,14/03/2022,NÃO,,,ADIMPLENTE
PR/SP0020478,07/02/2002,1022960,AUTO POSTO VARGEM LTDA,55549638000178,"RUA GERALDINO DE OLIVEIRA,  520",,CENTRO,12935000,SP,VARGEM,BANDEIRA BRANCA,07/02/2002,NÃO,,,ADIMPLENTE
PR/SP0009083,08/05/2001,1022995,AUTO POSTO PRAIA DO INDAIA LTDA,55647267000167,"AVENIDA RIO BRANCO,  1435",KM 103+300 MTS,INDAIA,11675050,SP,CARAGUATATUBA,BANDEIRA BRANCA,19/05/2021,NÃO,,,ADIMPLENTE
PR/SP0025730,29/05/2002,1023002,POSTO ESTRELA DA DUTRA LTDA,55662191000149,"RUA ANTONIO JUSTINO RIBEIRO,  136",KM    6,ESTRELA,12800000,SP,QUELUZ,BANDEIRA BRANCA,01/10/2025,NÃO,,,ADIMPLENTE
PR/SP0248322,27/11/2024,1305963,AUTO POSTO PARQUE LORENA LTDA,55792308000109,"AVENIDA TOMAZ ALVES DE FIGUEIREDO,  450",LOTE  10                  QUADRA30,CIDADE INDUSTRIAL,12609166,SP,LORENA,BANDEIRA BRANCA,27/11/2024,NÃO,,,ADIMPLENTE
PR/SP0250591,25/08/2025,1312393,AUTO POSTO GNV DE LORENA LTDA,55915336000176,"RUA CASTRO ALVES,  613",,CRUZ (VILA ZELIA),12606560,SP,LORENA,BANDEIRA BRANCA,25/08/2025,NÃO,,,ADIMPLENTE
PR/SP0013547,30/08/2001,1023130,AUTO POSTO CAPITAL DO SURF LTDA.,56608763000174,"RUA PROFESSOR THOMAZ GALHARDO,  1151",,UMUARAMA,11690436,SP,UBATUBA,VIBRA,30/08/2001,NÃO,,,ADIMPLENTE
PR/SP0249664,07/05/2025,1309527,AUTO POSTO CAICARA DE CARAGUA LTDA,57247175000115,"AVENIDA JOSE HERCULANO,  4687",,JARDIM BRITANIA,11666000,SP,CARAGUATATUBA,RAIZEN,07/05/2025,NÃO,,,ADIMPLENTE
PR/SP0000899,18/08/2000,1023190,ANTONIO MENDES DA ROCHA CRUZEIRO,57316853000154,"RUA CAPITAO NECO,  1400",,VILA REGINA CELIA,12701350,SP,CRUZEIRO,BANDEIRA BRANCA,18/08/2000,NÃO,,,ADIMPLENTE
PR/SP0004248,15/03/2001,1023336,AUTO POSTO CHALITA LTDA - EPP,58468653000180,"AVENIDA SEVERINO M BARBOSA,  126",,CENTRO,12630000,SP,CACHOEIRA PAULISTA,BANDEIRA BRANCA,08/03/2011,NÃO,,,ADIMPLENTE
PR/SP0027499,20/09/2002,1023488,ILHA BELA POSTO DE SERVICOS LTDA,59434027000135,"AVENIDA PRINCESA ISABEL,  2727",,BARRA VELHA,11630067,SP,ILHABELA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0003690,15/03/2001,1023540,ABASTECIMENTO E PECAS PIT STOP LTDA,59660886000142,"AVENIDA PADROEIRA DO BRASIL,  1080",,DA AROEIRA,12570000,SP,APARECIDA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0086470,28/09/2010,1166272,COOPERATIVA LATICINIOS DE SAO JOSE DOS CAMPOS,60179462001200,"AVENIDA SÃO JOSÉ DOS CAMPOS,  262",A,CENTRO,12260000,SP,PARAIBUNA,IPIRANGA,28/09/2010,NÃO,,,ADIMPLENTE
PR/SP0016245,29/09/2011,1023667,AUTO POSTO PRAIA DAS PALMEIRAS LTDA,60390887000101,"RUA PAI FELICIO,  S/N",,PRAIA DAS PALMEIRAS,11666450,SP,CARAGUATATUBA,BANDEIRA BRANCA,13/05/2025,NÃO,,,ADIMPLENTE
PR/SP0012618,30/08/2001,1023752,AUTO POSTO LIDER VILLAGE DE CRUZEIRO LTDA,60792694000179,"RUA TEODORO QUARTIM BARBOSA,  580",,RETIRO MANTIQUEIRA,12720690,SP,CRUZEIRO,IPIRANGA,24/06/2015,NÃO,,,ADIMPLENTE
PR/SP0022023,28/02/2002,1023809,ESCORT AUTO POSTO LTDA,61025854000117,"AVENIDA PRINCESA IZABEL,  1723",,PEREQUE,11630000,SP,ILHABELA,VIBRA,28/02/2002,NÃO,,,ADIMPLENTE
PR/SP0020046,23/01/2002,1023882,AUTO POSTO ASA DELTA LTDA,61279832000183,"RUA BENEDITO R DOS SANTOS FILHO,  34",CASA 01,PONTA SANTA MARINA,11672140,SP,CARAGUATATUBA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0017913,09/01/2002,1023948,CARAUBA AUTO POSTO LTDA,61501961000174,"AVENIDA JOSE AMADOR GALVAO,  26",,CIDADE JARDIM,11664100,SP,CARAGUATATUBA,VIBRA,25/03/2010,NÃO,,,ADIMPLENTE
PR/SP0030677,22/02/2003,1024134,A.P. SÃO JOSE AREIAS LTDA,62411129000140,"RUA COMENDADOR SAMPAIO,  S/N",,CENTRO,12820000,SP,AREIAS,CIAPETRO,22/10/2013,NÃO,,,ADIMPLENTE
PR/SP0023250,05/03/2002,1024399,E GOMES DA SILVA & CIA LTDA,64141526000174,"AVENIDA MARECHAL ARGOLO,  1162",,VILA PASSOS,12604440,SP,LORENA,BANDEIRA BRANCA,14/05/2018,NÃO,,,ADIMPLENTE
PR/SP0018749,14/12/2001,1024473,AUTO POSTO SACO DA RIBEIRA LTDA,64591175000101,"RODOVIA CARAGUATATUBA UBATUBA,  SN",KM 63,SACO DA RIBEIRA,11680000,SP,UBATUBA,RAIZEN,14/12/2001,NÃO,,,ADIMPLENTE
PR/SP0017338,26/09/2001,1024590,M DO CARMO CEZAR,65445280000197,"AVENIDA GETULIO VARGAS,  969",,SANTA RITA,12570000,SP,APARECIDA,BANDEIRA BRANCA,01/01/2004,NÃO,,,ADIMPLENTE
PR/SP0173925,29/01/2016,1024748,AUTO POSTO BRISA DO MAR LTDA,66571282000195,"RUA BEGONIAS,  223",,JARDIM CAROLINA,11680000,SP,UBATUBA,BANDEIRA BRANCA,30/07/2024,NÃO,,,ADIMPLENTE
PR/SP0020975,08/02/2002,1024867,AUTO POSTO ESTRADA DOS TROPEIROS LTDA,67565796000109,"PRACA DOS EX-COMBATENTES DE 32,  S/N",,CENTRO,12690000,SP,SILVEIRAS,BANDEIRA BRANCA,20/11/2012,NÃO,,,ADIMPLENTE
PR/SP0004325,15/03/2001,1024918,POSTO ARCO IRIS DE APARECIDA LTDA,68107879000109,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    75,ITAGUASSU,12570000,SP,APARECIDA,VIBRA,08/12/2021,NÃO,,,ADIMPLENTE
PR/SP0003268,15/03/2001,1025358,MUCELIN- COMERCIO DE COMBUSTIVEIS LTDA,72028913000127,"RUA HEPACARE,  120",,CENTRO,12600340,SP,LORENA,RAIZEN,11/08/2025,NÃO,,,ADIMPLENTE
PR/SP0020335,07/02/2002,1025730,WILSON V DA SILVA CUNHA,74639006000140,"ALM  FRANCISCO DA C MENEZES,  1505",,FALCAO,12530000,SP,CUNHA,VIBRA,23/01/2009,NÃO,,,ADIMPLENTE
